OFFICIAL_GENE_SYMBOL	Name	Species
IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein(ikbkap)	Danio rerio
JADE2	jade family PHD finger 2(jade2)	Danio rerio
EXOSC1	exosome component 1(exosc1)	Danio rerio
RNF168	ring finger protein 168(rnf168)	Danio rerio
EXOSC6	exosome component 6(exosc6)	Danio rerio
mta3	metastasis associated 1 family, member 3(mta3)	Danio rerio
KAT2B	K(lysine) acetyltransferase 2B(kat2b)	Danio rerio
DPF3	D4, zinc and double PHD fingers, family 3(dpf3)	Danio rerio
ING3	inhibitor of growth family, member 3(ing3)	Danio rerio
TFPT	TCF3 (E2A) fusion partner(tfpt)	Danio rerio
TAF5L	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor(taf5l)	Danio rerio
BPHL	biphenyl hydrolase-like (serine hydrolase)(bphl)	Danio rerio
ZNHIT1	zinc finger, HIT-type containing 1(znhit1)	Danio rerio
MBTD1	mbt domain containing 1(mbtd1)	Danio rerio
PADI2	peptidyl arginine deiminase, type II(padi2)	Danio rerio
USP11	ubiquitin specific peptidase 11(usp11)	Danio rerio
HLCS	holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase)(hlcs)	Danio rerio
EPC2	enhancer of polycomb homolog 2 (Drosophila)(epc2)	Danio rerio
PCGF6	polycomb group ring finger 6(pcgf6)	Danio rerio
PRMT2	protein arginine methyltransferase 2(prmt2)	Danio rerio
FOXP2	forkhead box P2(foxp2)	Danio rerio
KMT2D	lysine (K)-specific methyltransferase 2D(kmt2d)	Danio rerio
PRDM14	PR domain containing 14(prdm14)	Danio rerio
RNF2	ring finger protein 2(rnf2)	Danio rerio
HDAC6	histone deacetylase 6(hdac6)	Danio rerio
SCML4	sex comb on midleg-like 4 (Drosophila)(scml4)	Danio rerio
TLK2	tousled-like kinase 2(tlk2)	Danio rerio
BAZ1B	bromodomain adjacent to zinc finger domain, 1B(baz1b)	Danio rerio
BRWD1	bromodomain and WD repeat domain containing 1(brwd1)	Danio rerio
Prdm11	PR domain containing 11(prdm11)	Danio rerio
MDC1	mediator of DNA damage checkpoint 1(mdc1)	Danio rerio
